PID,Name,Position,Height,Weight,Age,Foot,WeakFootUsage,WeakFootAccuracy,Form,InjuryResistance,Nationality,AttStyle,DefStyle,Aptitudes,进攻意识 Off.Aware,控球 Ball Control,盘带 Dribbling,紧密控球 Tight Poss,短传 Low Pass,高传 Lofted Pass,射门 Finishing,头球 Heading,定位球 Set Piece,弧线 Curl,防守意识 Def.Aware,抢断 Tackling,侵略性 Aggression,防守参与 Def.Engage,GK 扑救意识,GK 接球,GK 反应,GK 倒地扑救,GK 控制范围,速度 Speed,加速 Acceleration,踢球力量 Kick Power,弹跳 Jumping,身体对抗 Phys.,平衡 Balance,体力 Stamina,Skills,AIStyles
59465,Federico Ceccherini,CB,186,72,34,Right,Occasionally,High,Standard,Medium,Italy,Basic,The Destroyer,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=1|DMF=0|RWF=0|SS=0|LB=0|CMF=0,56,63,58,62,61,60,55,69,58,60,73,72,77,75,40,40,40,40,40,67,65,63,74,72,57,71,Aerial Superiority|Blocker|Interception,
59469,Saulo Decarli,CB,188,77,34,Right,Rarely,Low,Standard,Low,Switzerland,Build Up,Basic,RMF=1|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=2|DMF=0|RWF=0|SS=0|LB=1|CMF=0,54,62,60,58,65,63,53,68,56,55,72,69,73,72,40,40,40,40,40,68,58,62,76,75,61,69,Aerial Superiority|Captaincy|Fighting Spirit|Long Throw|Man Marking,Long Ball Expert
59481,Domenico Berardi,RWF,183,72,32,Left,Rarely,High,Unwavering,Low,Italy,Prolific Winger,Basic,RMF=2|AMF=0|CB=0|CF=1|LMF=0|LWF=1|RB=0|DMF=0|RWF=2|SS=2|LB=0|CMF=0,74,77,76,73,75,74,75,58,74,77,50,51,66,63,40,40,40,40,40,73,76,77,58,65,76,71,First-time Shot|Gamesmanship|Heel Trick|Long Range Shooting|Long-Range Curler|Marseille Turn|One-touch Pass|Penalty Specialist|Pinpoint Crossing|Through Passing,Incisive Run|Long Ranger|Mazing Run|Trickster
59484,Leonardo Pavoletti,CF,188,85,38,Right,Occasionally,High,Standard,Low,Italy,Fox in the Box,Basic,RMF=0|AMF=0|CB=0|CF=2|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=1|LB=0|CMF=0,74,70,64,67,63,59,72,80,56,63,47,54,63,56,40,40,40,40,40,62,59,75,78,77,58,64,Acrobatic Finishing|Aerial Superiority|Captaincy|First-time Shot|Heading|One-touch Pass,
59485,Mirko Salvi,GK,188,80,32,Right,Rarely,Medium,Unwavering,High,Switzerland,Basic,Defensive GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,45,42,42,49,51,40,48,45,40,48,44,46,60,70,68,68,67,70,52,47,67,64,70,47,53,GK High Punt,
59486,Fabian Schär,CB,186,85,35,Right,Occasionally,High,Unwavering,High,Switzerland,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,60,65,63,70,70,72,59,77,70,65,76,80,79,80,40,40,40,40,40,65,64,80,77,77,60,79,Acrobatic Clearance|Aerial Superiority|Blocker|Fighting Spirit|Heading|Interception|Knuckle Shot,Long Ball Expert
59490,Roman Bürki,GK,187,85,36,Right,Rarely,Medium,Standard,Medium,Switzerland,Basic,Attacking GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,50,42,43,53,50,40,40,50,44,44,42,50,60,75,72,77,72,76,54,51,71,73,72,57,52,Captaincy|GK Long Throw|GK Low Punt,
59510,Jesé Rodríguez,CF,178,72,33,Right,Almost Never,High,Inconsistent,Medium,Spain,Dummy Runner,Basic,RMF=1|AMF=1|CB=0|CF=2|LMF=2|LWF=2|RB=0|DMF=0|RWF=2|SS=2|LB=0|CMF=0,70,75,75,70,67,63,72,60,69,65,45,47,51,55,40,40,40,40,40,69,74,77,60,62,71,68,Acrobatic Finishing|Chop Turn|Dipping Shot|First-time Shot|Heel Trick|Long Range Shooting|Marseille Turn|Scissors Feint|Sole Control|Sombrero,Incisive Run|Mazing Run|Speeding Bullet
59535,Thiago Martins,CB,185,78,31,Right,Rarely,Medium,Standard,Low,Brazil,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,53,62,60,54,63,64,56,70,56,56,75,71,71,71,40,40,40,40,40,78,76,70,71,70,63,67,Blocker|Captaincy,
59547,Pierre Højbjerg,CMF,187,81,31,Right,Rarely,High,Standard,High,Denmark,Box-to-Box,Box-to-Box,RMF=0|AMF=1|CB=1|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,60,75,71,79,79,77,62,63,67,70,70,77,86,80,40,40,40,40,40,63,65,79,65,73,60,80,Blocker|Captaincy|Fighting Spirit|Interception|Long Range Shooting|Low Lofted Pass|One-touch Pass|Sliding Tackle|Through Passing|Weighted Pass,Long Ball Expert|Long Ranger
59548,Kaan Ayhan,CB,184,84,32,Right,Occasionally,High,Unwavering,Medium,Türkiye,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=2|DMF=2|RWF=0|SS=0|LB=1|CMF=1,58,67,61,64,72,73,58,72,74,74,72,71,71,71,40,40,40,40,40,63,64,77,74,72,66,70,Acrobatic Clearance|Fighting Spirit|Interception|Long Throw|Low Lofted Pass|Man Marking,Early Cross|Long Ball Expert|Long Ranger
59560,Niklas Lomb,GK,186,83,33,Right,Rarely,Low,Standard,High,Germany,Basic,Attacking GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,45,41,42,49,51,40,49,45,40,46,42,45,61,69,65,68,66,71,51,52,68,67,67,50,52,GK High Punt,
59578,Danny Bakker,CB,184,77,31,Left,Occasionally,High,Unwavering,Medium,Netherlands,Basic,The Destroyer,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=1|CMF=2,54,66,63,62,71,70,51,68,53,64,71,70,73,72,40,40,40,40,40,69,66,67,72,71,63,74,Acrobatic Clearance|Captaincy|Heading|Interception,Long Ball Expert|Long Ranger
59590,Zakaria Bakkali,LWF,170,71,30,Right,Occasionally,High,Inconsistent,Low,Belgium,Roaming Flank,Basic,RMF=1|AMF=1|CB=0|CF=1|LMF=2|LWF=2|RB=0|DMF=0|RWF=2|SS=1|LB=0|CMF=0,63,69,71,67,63,60,61,53,62,67,49,46,53,51,40,40,40,40,40,77,74,65,61,59,68,62,Cut Behind & Turn|Double Touch|Marseille Turn|Sole Control,Incisive Run|Mazing Run|Trickster
59595,Riechedly Bazoer,CB,184,74,30,Right,Occasionally,High,Standard,Low,Curaçao,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,62,73,68,73,72,75,57,72,63,68,72,71,73,68,40,40,40,40,40,67,63,77,65,75,64,72,Cut Behind & Turn|Gamesmanship|Interception|Long Range Shooting|Outside Curler|Sole Control|Weighted Pass,Long Ball Expert|Long Ranger|Mazing Run
59596,Kenny Tete,RB,180,71,31,Right,Rarely,Medium,Standard,Medium,Netherlands,Defensive Full-back,Basic,RMF=1|AMF=0|CB=1|CF=0|LMF=0|LWF=0|RB=2|DMF=0|RWF=0|SS=0|LB=1|CMF=0,58,70,72,68,69,74,55,68,53,64,70,76,78,74,40,40,40,40,40,79,76,67,74,66,72,77,Interception|Man Marking|Pinpoint Crossing,Early Cross
59607,Wellington Priori,CB,190,88,36,Right,Rarely,Medium,Standard,Medium,Brazil,Basic,The Destroyer,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,56,70,65,63,67,65,55,68,62,56,66,68,63,65,40,40,40,40,40,65,60,75,63,82,59,72,Aerial Superiority|Interception|Knuckle Shot|Long Throw,Long Ball Expert
59616,Andries Noppert,GK,203,94,32,Left,Rarely,Medium,Inconsistent,High,Netherlands,Basic,Defensive GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,51,45,43,56,59,40,53,55,45,48,43,45,60,68,66,69,65,71,50,48,67,64,73,43,58,GK High Punt,
59632,A. Trajkovski,SS,179,78,34,Right,Rarely,Medium,Standard,Medium,North Macedonia,Hole Player,Basic,RMF=2|AMF=2|CB=0|CF=2|LMF=2|LWF=2|RB=0|DMF=0|RWF=2|SS=2|LB=0|CMF=1,66,73,74,72,68,66,70,63,68,68,51,50,54,66,40,40,40,40,40,73,76,73,64,64,65,68,Chop Turn|Dipping Shot|Long-Range Curler|Scissors Feint,Incisive Run|Long Ranger
59646,Dimitrios Kourbelis,DMF,182,73,33,Right,Rarely,Medium,Unwavering,Low,Greece,Anchor Man,Anchor Man,RMF=1|AMF=0|CB=1|CF=0|LMF=1|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=1,61,66,61,63,72,67,56,69,52,55,70,74,83,78,40,40,40,40,40,71,67,69,69,75,62,78,Acrobatic Clearance|Blocker|Captaincy|Fighting Spirit|Interception|Long Range Shooting|Man Marking|Rising Shot|Sliding Tackle,Long Ranger
59657,Tasos Bakasetas,AMF,181,75,33,Left,Occasionally,High,Standard,Medium,Greece,Classic No. 10,Basic,RMF=1|AMF=2|CB=0|CF=2|LMF=1|LWF=0|RB=0|DMF=1|RWF=1|SS=2|LB=0|CMF=2,70,77,71,75,78,72,75,65,77,74,51,52,57,62,40,40,40,40,40,69,61,81,63,72,58,68,Acrobatic Finishing|Captaincy|Cut Behind & Turn|Dipping Shot|First-time Shot|Knuckle Shot|Long Range Shooting|Long-Range Curler|Penalty Specialist|Pinpoint Crossing,Long Ball Expert|Long Ranger|Mazing Run
59706,Tomasz Kędziora,CB,183,78,32,Right,Rarely,High,Unwavering,High,Poland,Build Up,Basic,RMF=1|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=2|DMF=0|RWF=0|SS=0|LB=1|CMF=0,53,66,61,62,68,64,56,72,51,59,74,73,78,76,40,40,40,40,40,75,66,66,75,73,62,77,Acrobatic Clearance|Captaincy|Fighting Spirit|Interception|Long Throw|Sliding Tackle,
59709,Karol Linetty,CMF,176,73,31,Right,Rarely,High,Standard,Medium,Poland,Box-to-Box,Box-to-Box,RMF=1|AMF=1|CB=0|CF=0|LMF=1|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,65,73,71,69,74,71,64,59,61,66,65,68,76,67,40,40,40,40,40,66,70,70,67,61,75,76,Fighting Spirit|First-time Shot|Low Lofted Pass|Outside Curler|Through Passing,Long Ranger
59722,Kawabe Hayao,CMF,180,72,31,Right,Rarely,Medium,Unwavering,High,Japan,Box-to-Box,Box-to-Box,RMF=1|AMF=2|CB=0|CF=0|LMF=1|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,66,75,72,74,75,72,68,60,76,72,61,63,65,67,40,40,40,40,40,66,72,73,63,58,72,77,Cut Behind & Turn|Double Touch|Fighting Spirit|Gamesmanship|Low Lofted Pass|Rising Shot|Through Passing|Weighted Pass,Incisive Run|Long Ball Expert|Long Ranger
59724,Miyahara Kazuya,RB,172,68,30,Right,Rarely,Medium,Standard,Low,Japan,Defensive Full-back,Basic,RMF=1|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=2|DMF=0|RWF=0|SS=0|LB=0|CMF=0,52,67,63,66,69,72,53,68,60,66,68,72,76,74,40,40,40,40,40,69,73,64,74,61,68,78,Man Marking,
59725,Brayan Perea,CF,188,79,33,Right,Occasionally,Very High,Standard,Medium,Colombia,Goal Poacher,Basic,RMF=0|AMF=0|CB=0|CF=2|LMF=0|LWF=1|RB=0|DMF=0|RWF=1|SS=1|LB=0|CMF=0,68,71,69,66,59,55,70,70,55,58,43,44,60,43,40,40,40,40,40,69,74,70,70,72,61,65,Chip Shot Control|Cut Behind & Turn|Double Touch|First-time Shot,Trickster
59760,Wilfried Zaha,LWF,180,66,34,Right,Rarely,High,Inconsistent,Low,Côte d'Ivoire,Prolific Winger,Basic,RMF=2|AMF=0|CB=0|CF=2|LMF=2|LWF=2|RB=0|DMF=0|RWF=2|SS=1|LB=0|CMF=0,70,71,84,72,64,65,72,55,62,62,42,42,50,52,40,40,40,40,40,82,83,73,60,67,73,72,Chop Turn|Cut Behind & Turn|Flip Flap|Gamesmanship|Long Range Shooting|Marseille Turn|Penalty Specialist|Rising Shot|Scissors Feint|Sole Control,Incisive Run|Mazing Run|Speeding Bullet|Trickster
59766,Nathan Aké,CB,180,75,31,Left,Rarely,Medium,Standard,Low,Netherlands,Extra Frontman,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=1|RWF=0|SS=0|LB=2|CMF=0,60,73,66,73,73,70,54,77,55,64,79,78,78,80,40,40,40,40,40,70,73,65,82,77,62,76,Acrobatic Clearance|Fighting Spirit|Interception|Sliding Tackle,Long Ball Expert|Long Ranger
59767,Robbie Brady,LMF,176,71,34,Left,Occasionally,High,Standard,Medium,Republic of Ireland,Cross Specialist,Basic,RMF=1|AMF=0|CB=0|CF=0|LMF=2|LWF=1|RB=0|DMF=0|RWF=1|SS=0|LB=2|CMF=1,65,72,67,70,69,75,64,52,74,76,60,62,64,66,40,40,40,40,40,68,72,75,67,54,74,70,Gamesmanship|Pinpoint Crossing|Scissors Feint|Weighted Pass,Early Cross
59780,Conor Townsend,LB,168,62,33,Left,Rarely,Medium,Standard,Medium,England,Attacking Full-back,Basic,RMF=0|AMF=0|CB=1|CF=0|LMF=1|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=2|CMF=0,61,71,68,65,65,72,61,57,75,72,65,66,65,71,40,40,40,40,40,74,70,72,67,62,68,81,Captaincy|Gamesmanship|Pinpoint Crossing,Early Cross|Incisive Run
59787,Declan John,LB,178,75,31,Left,Rarely,Medium,Standard,Medium,Wales,Attacking Full-back,Basic,RMF=0|AMF=0|CB=0|CF=0|LMF=2|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=2|CMF=0,55,66,68,61,65,69,54,58,61,65,62,65,64,61,40,40,40,40,40,81,77,67,61,63,67,74,Interception,Speeding Bullet
59796,Alex Gogić,CB,185,83,32,Right,Rarely,Medium,Standard,Medium,Cyprus,Basic,The Destroyer,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=1,53,63,57,62,64,63,53,70,57,58,70,71,83,72,40,40,40,40,40,64,57,72,67,79,54,75,Aerial Superiority|Blocker|Captaincy|Fighting Spirit|Interception|Man Marking,
59797,Jacob Murphy,RWF,179,74,31,Right,Rarely,High,Unwavering,Medium,England,Cross Specialist,Basic,RMF=2|AMF=0|CB=0|CF=0|LMF=1|LWF=1|RB=1|DMF=0|RWF=2|SS=0|LB=0|CMF=0,71,75,77,68,70,73,66,56,64,69,57,61,65,62,40,40,40,40,40,80,78,76,65,64,77,78,Cut Behind & Turn|Double Touch|First-time Shot|Gamesmanship|Knuckle Shot|Long Range Shooting|Long-Range Curler|Outside Curler|Pinpoint Crossing|Rising Shot,Early Cross|Mazing Run|Speeding Bullet|Trickster
59798,David Moberg,RWF,179,74,32,Left,Almost Never,Medium,Standard,Medium,Sweden,Prolific Winger,Basic,RMF=1|AMF=0|CB=0|CF=2|LMF=2|LWF=2|RB=0|DMF=0|RWF=2|SS=1|LB=0|CMF=0,68,70,74,63,65,67,68,52,72,75,47,46,53,65,40,40,40,40,40,75,72,71,57,59,70,67,Acrobatic Finishing|Dipping Shot|Gamesmanship|Heel Trick|Outside Curler|Penalty Specialist|Pinpoint Crossing|Scotch Move|Sole Control,Incisive Run|Long Ranger|Speeding Bullet
59801,Youri Tielemans,CMF,176,72,29,Right,Occasionally,Very High,Standard,High,Belgium,Box-to-Box,Box-to-Box,RMF=0|AMF=2|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,71,78,73,83,80,80,68,55,70,78,67,65,73,70,40,40,40,40,40,62,67,81,65,67,70,78,Cut Behind & Turn|First-time Shot|Interception|Long Range Shooting|No Look Pass|One-touch Pass|Penalty Specialist|Scotch Move|Through Passing|Weighted Pass,Long Ball Expert|Long Ranger
59802,Leander Dendoncker,DMF,188,76,31,Right,Occasionally,High,Standard,High,Belgium,Anchor Man,Anchor Man,RMF=0|AMF=1|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,63,74,67,70,77,72,59,72,63,65,66,68,78,72,40,40,40,40,40,67,64,77,69,78,64,82,Acrobatic Clearance|Aerial Superiority|Cut Behind & Turn|Fighting Spirit|Interception|Long Range Shooting|Low Lofted Pass|Man Marking|Sole Control|Weighted Pass,Long Ball Expert|Long Ranger
59806,Chancel Mbemba,CB,182,81,32,Right,Rarely,Medium,Unwavering,Medium,Congo DR,Basic,The Destroyer,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,56,62,62,67,61,62,58,73,60,62,74,73,80,74,40,40,40,40,40,73,70,70,78,75,60,65,Acrobatic Clearance|Aerial Superiority|Blocker|Captaincy|Fighting Spirit|Heading|Interception|Long Throw,Long Ball Expert
59840,Laurent Abergel,DMF,170,65,33,Right,Occasionally,High,Unwavering,High,France,Box-to-Box,Box-to-Box,RMF=1|AMF=1|CB=0|CF=0|LMF=1|LWF=0|RB=2|DMF=2|RWF=0|SS=0|LB=1|CMF=2,62,74,68,72,73,70,54,65,56,61,72,77,76,79,40,40,40,40,40,64,70,73,68,66,74,81,Captaincy|Fighting Spirit|Gamesmanship|Long Range Shooting|Rising Shot|Track Back|Weighted Pass,Incisive Run|Long Ranger
59842,Morgan Sanson,CMF,180,73,32,Right,Occasionally,High,Standard,Medium,France,Box-to-Box,Box-to-Box,RMF=2|AMF=2|CB=0|CF=0|LMF=2|LWF=1|RB=0|DMF=2|RWF=1|SS=1|LB=0|CMF=2,70,77,72,74,77,78,67,57,64,70,64,65,65,67,40,40,40,40,40,66,68,73,64,64,66,75,Acrobatic Finishing|Captaincy|Cut Behind & Turn|First-time Shot|Gamesmanship|Long-Range Curler|Low Lofted Pass|One-touch Pass|Weighted Pass,Long Ball Expert|Long Ranger
59948,Darwin Quintero,SS,166,66,39,Right,Occasionally,High,Unwavering,Medium,Colombia,Creative Playmaker,Basic,RMF=1|AMF=2|CB=0|CF=1|LMF=1|LWF=2|RB=0|DMF=0|RWF=2|SS=2|LB=0|CMF=1,73,77,78,76,73,74,69,59,70,72,45,42,52,51,40,40,40,40,40,74,79,68,58,63,77,67,Acrobatic Finishing|Chip Shot Control|Chop Turn|Double Touch|Low Lofted Pass|One-touch Pass|Outside Curler|Pinpoint Crossing|Sole Control|Through Passing,Long Ranger|Mazing Run
59949,Carlos Zambrano,CB,185,77,37,Right,Occasionally,Medium,Standard,Medium,Peru,Basic,The Destroyer,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=2|DMF=2|RWF=0|SS=0|LB=0|CMF=0,52,63,57,59,63,67,53,72,55,60,75,77,80,72,40,40,40,40,40,62,63,70,71,74,61,68,Acrobatic Clearance|Blocker|Captaincy|Fighting Spirit|Heading|Man Marking|Sliding Tackle,
59964,Josef Martínez,CF,173,81,33,Right,Occasionally,Very High,Standard,Low,Venezuela,Goal Poacher,Basic,RMF=0|AMF=1|CB=0|CF=2|LMF=0|LWF=1|RB=0|DMF=0|RWF=1|SS=2|LB=0|CMF=0,73,70,68,65,63,60,75,69,57,62,42,42,55,49,40,40,40,40,40,79,75,74,80,68,76,66,Acrobatic Finishing|Cut Behind & Turn|First-time Shot|Heel Trick|Long Range Shooting|One-touch Pass|Penalty Specialist,Incisive Run|Speeding Bullet
59978,Theerathon Bunmathan,LB,171,62,36,Left,Occasionally,Medium,Unwavering,High,Thailand,Full-back Finisher,Basic,RMF=0|AMF=0|CB=1|CF=0|LMF=2|LWF=0|RB=1|DMF=2|RWF=0|SS=0|LB=2|CMF=2,65,67,72,70,72,77,58,55,73,78,60,63,68,65,40,40,40,40,40,70,75,75,66,60,76,74,Captaincy|Long Range Shooting|Outside Curler|Pinpoint Crossing|Rising Shot,Early Cross|Incisive Run|Long Ranger
59993,Emerson Palmieri,LB,176,76,32,Left,Almost Never,Medium,Standard,Low,Italy,Attacking Full-back,Basic,RMF=0|AMF=0|CB=1|CF=0|LMF=2|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=2|CMF=0,63,73,74,72,73,75,55,61,76,77,71,73,69,74,40,40,40,40,40,73,74,77,69,63,72,78,Heel Trick|Interception|Low Lofted Pass|Pinpoint Crossing|Sole Control|Weighted Pass,Early Cross|Long Ball Expert|Speeding Bullet
59995,Héctor Herrera,CMF,185,80,36,Right,Occasionally,High,Unwavering,Low,Mexico,Box-to-Box,Box-to-Box,RMF=0|AMF=1|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=1|RWF=0|SS=0|LB=0|CMF=2,64,72,67,70,74,73,61,57,72,68,69,72,78,73,40,40,40,40,40,63,68,78,67,74,62,75,Captaincy|Dipping Shot|Heel Trick|Interception|Long-Range Curler|Outside Curler|Sliding Tackle|Sole Control|Through Passing|Weighted Pass,Long Ball Expert|Long Ranger
59998,Nicolò Brighenti,CB,178,75,37,Right,Occasionally,High,Standard,High,Italy,Basic,The Destroyer,RMF=1|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=2|DMF=0|RWF=0|SS=0|LB=1|CMF=0,56,63,57,58,65,63,57,70,55,60,73,75,76,71,40,40,40,40,40,66,68,64,74,72,65,70,Blocker|Captaincy|Interception|Man Marking,
60029,Axel Werner,GK,192,86,30,Right,Occasionally,Medium,Inconsistent,Medium,Argentina,Basic,Attacking GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,43,51,46,44,55,59,42,44,50,46,50,45,42,60,67,70,70,73,72,57,59,72,68,75,52,55,GK Long Throw,
60046,Nicolás Freire,CB,186,80,32,Left,Rarely,Medium,Unwavering,Low,Argentina,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=2|CMF=0,54,64,59,57,66,67,52,74,58,63,70,73,76,70,40,40,40,40,40,66,65,69,74,78,60,68,Acrobatic Clearance|Blocker|Captaincy|Heading|Interception|Long Throw,Long Ball Expert
60059,Gerónimo Rulli,GK,189,84,34,Right,Almost Never,Low,Standard,Low,Argentina,Basic,Attacking GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,41,55,43,48,57,60,40,45,55,50,54,48,41,60,78,74,80,75,77,56,55,73,69,71,54,57,Fighting Spirit|GK Long Throw|GK Low Punt|GK Penalty Saver,
60060,Duván Zapata,CF,189,88,35,Right,Rarely,High,Standard,Low,Colombia,Target Man,Basic,RMF=0|AMF=0|CB=0|CF=2|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=1|LB=0|CMF=0,76,70,71,67,64,61,75,78,65,60,48,53,64,62,40,40,40,40,40,70,67,80,73,83,60,71,Acrobatic Finishing|Aerial Superiority|Chop Turn|Cut Behind & Turn|First-time Shot|Gamesmanship|Heading|Super-sub,
60061,Jonathan Silva,LB,178,72,32,Left,Almost Never,Low,Standard,Low,Argentina,Defensive Full-back,Basic,RMF=0|AMF=0|CB=0|CF=0|LMF=2|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=2|CMF=0,63,68,70,66,67,72,58,60,67,72,63,68,75,67,40,40,40,40,40,75,76,75,62,71,62,74,Fighting Spirit|Long Throw|One-touch Pass|Pinpoint Crossing|Sole Control,Early Cross
60062,Guido Carrillo,CF,187,87,35,Right,Rarely,High,Standard,Medium,Argentina,Target Man,Basic,RMF=0|AMF=1|CB=0|CF=2|LMF=0|LWF=1|RB=0|DMF=0|RWF=0|SS=1|LB=0|CMF=0,75,71,65,67,64,57,74,80,60,63,45,51,61,56,40,40,40,40,40,69,67,76,76,81,62,73,Acrobatic Finishing|Aerial Superiority|Captaincy|First-time Shot|Heading|Super-sub,
60095,Julián Fernández,DMF,180,77,31,Right,Rarely,Medium,Standard,High,Argentina,Basic,The Destroyer,RMF=1|AMF=1|CB=0|CF=0|LMF=1|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,54,71,61,66,75,67,53,73,53,61,66,71,72,72,40,40,40,40,40,68,66,70,70,71,56,77,Fighting Spirit|Sliding Tackle,
60109,Walter Benítez,GK,191,93,33,Right,Rarely,Medium,Standard,High,Argentina,Basic,Defensive GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,57,48,43,59,64,41,56,55,50,51,48,46,60,74,72,77,71,73,60,58,74,70,75,55,65,Captaincy|GK Long Throw|GK Low Punt|GK Penalty Saver,
60134,Fernando Zuqui,CMF,173,71,35,Right,Rarely,High,Standard,High,Argentina,Orchestrator,Basic,RMF=2|AMF=1|CB=0|CF=0|LMF=1|LWF=0|RB=1|DMF=1|RWF=1|SS=1|LB=0|CMF=2,63,76,75,75,76,78,59,53,73,79,59,68,68,70,40,40,40,40,40,70,73,77,56,61,72,73,Cut Behind & Turn|Gamesmanship|Long Range Shooting|Low Lofted Pass|One-touch Pass|Pinpoint Crossing|Sliding Tackle|Sole Control|Through Passing|Weighted Pass,Early Cross|Long Ball Expert|Long Ranger|Mazing Run
60139,Gabriel Graciani,RMF,180,75,33,Right,Occasionally,High,Inconsistent,Medium,Argentina,Box-to-Box,Box-to-Box,RMF=2|AMF=1|CB=0|CF=0|LMF=1|LWF=0|RB=1|DMF=0|RWF=2|SS=1|LB=0|CMF=1,68,69,71,67,67,67,70,72,62,70,59,68,72,67,40,40,40,40,40,76,73,76,76,71,66,77,Aerial Superiority|Fighting Spirit,Incisive Run|Speeding Bullet
60143,Lucas Alario,CF,185,78,34,Right,Occasionally,High,Inconsistent,Medium,Argentina,Fox in the Box,Basic,RMF=0|AMF=0|CB=0|CF=2|LMF=0|LWF=1|RB=0|DMF=0|RWF=0|SS=1|LB=0|CMF=0,70,73,67,72,69,60,68,76,65,64,46,48,58,57,40,40,40,40,40,66,65,77,74,75,60,65,Acrobatic Finishing|Chip Shot Control|Heading|Heel Trick|Penalty Specialist,
60151,Germán Conti,CB,193,78,32,Right,Occasionally,High,Standard,Medium,Argentina,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=1|DMF=0|RWF=0|SS=0|LB=1|CMF=0,56,64,60,60,69,68,53,78,52,61,72,70,69,70,40,40,40,40,40,64,61,72,76,77,55,67,Acrobatic Clearance|Aerial Superiority|Blocker|Heading|Interception|Low Lofted Pass|Sliding Tackle|Weighted Pass,Long Ball Expert
60155,Fernando Meza,CB,176,74,36,Right,Occasionally,High,Standard,Medium,Argentina,Build Up,Basic,RMF=1|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=2|DMF=0|RWF=0|SS=0|LB=0|CMF=0,53,63,63,60,71,72,50,74,60,64,70,66,74,74,40,40,40,40,40,69,68,65,78,72,64,73,Aerial Superiority|Weighted Pass,
